generation,highest_score,average_score,lowest_score,total_wins,total_losses,total_draws,highest_defection_rate,average_defection_rate,lowest_defection_rate
0,59184,57265.36,55345,43520,43520,11960,0.506010101010101,0.4507702020202023,0.38075757575757574
1,63610,50649.92,47184,44883,44883,9234,1,0.559861111111111,0.441010101010101
2,34500,30389.4,21744,42761,42761,13478,1,0.8551439393939397,0.4730808080808081
3,22515,21678.58,19346,26347,26347,46306,1,0.9739499999999996,0.8674747474747475
4,20205,20065.58,15697,3128,3128,92744,1,0.996639898989899,0.7866666666666666
5,19800,19800,19800,0,0,99000,1,1,1
6,19800,19800,19800,0,0,99000,1,1,1
7,19800,19800,19800,0,0,99000,1,1,1
8,19800,19800,19800,0,0,99000,1,1,1
9,19800,19800,19800,0,0,99000,1,1,1
10,19800,19800,19800,0,0,99000,1,1,1
11,19800,19800,19800,0,0,99000,1,1,1
12,19800,19800,19800,0,0,99000,1,1,1
13,19800,19800,19800,0,0,99000,1,1,1
14,19800,19800,19800,0,0,99000,1,1,1
15,19800,19800,19800,0,0,99000,1,1,1
16,19800,19800,19800,0,0,99000,1,1,1
17,19800,19800,19800,0,0,99000,1,1,1
18,19800,19800,19800,0,0,99000,1,1,1
19,19800,19800,19800,0,0,99000,1,1,1
20,19800,19800,19800,0,0,99000,1,1,1
21,19800,19800,19800,0,0,99000,1,1,1
22,19800,19800,19800,0,0,99000,1,1,1
23,19800,19800,19800,0,0,99000,1,1,1
24,19800,19800,19800,0,0,99000,1,1,1
25,19800,19800,19800,0,0,99000,1,1,1
26,19800,19800,19800,0,0,99000,1,1,1
27,19800,19800,19800,0,0,99000,1,1,1
28,19800,19800,19800,0,0,99000,1,1,1
29,19800,19800,19800,0,0,99000,1,1,1
30,19800,19800,19800,0,0,99000,1,1,1
31,19800,19800,19800,0,0,99000,1,1,1
32,19800,19800,19800,0,0,99000,1,1,1
33,19800,19800,19800,0,0,99000,1,1,1
34,19800,19800,19800,0,0,99000,1,1,1
35,19800,19800,19800,0,0,99000,1,1,1
36,19800,19800,19800,0,0,99000,1,1,1
37,19800,19800,19800,0,0,99000,1,1,1
38,19800,19800,19800,0,0,99000,1,1,1
39,19800,19800,19800,0,0,99000,1,1,1
40,19800,19800,19800,0,0,99000,1,1,1
41,19800,19800,19800,0,0,99000,1,1,1
42,19800,19800,19800,0,0,99000,1,1,1
43,19800,19800,19800,0,0,99000,1,1,1
44,19800,19800,19800,0,0,99000,1,1,1
45,19800,19800,19800,0,0,99000,1,1,1
46,19800,19800,19800,0,0,99000,1,1,1
47,19800,19800,19800,0,0,99000,1,1,1
48,19800,19800,19800,0,0,99000,1,1,1
49,19800,19800,19800,0,0,99000,1,1,1
50,19800,19800,19800,0,0,99000,1,1,1
51,19800,19800,19800,0,0,99000,1,1,1
52,19800,19800,19800,0,0,99000,1,1,1
53,19800,19800,19800,0,0,99000,1,1,1
54,19800,19800,19800,0,0,99000,1,1,1
55,19800,19800,19800,0,0,99000,1,1,1
56,19800,19800,19800,0,0,99000,1,1,1
57,19800,19800,19800,0,0,99000,1,1,1
58,19800,19800,19800,0,0,99000,1,1,1
59,19800,19800,19800,0,0,99000,1,1,1
60,19800,19800,19800,0,0,99000,1,1,1
61,19800,19800,19800,0,0,99000,1,1,1
62,19800,19800,19800,0,0,99000,1,1,1
63,19800,19800,19800,0,0,99000,1,1,1
64,19800,19800,19800,0,0,99000,1,1,1
65,19800,19800,19800,0,0,99000,1,1,1
66,19800,19800,19800,0,0,99000,1,1,1
67,19800,19800,19800,0,0,99000,1,1,1
68,19800,19800,19800,0,0,99000,1,1,1
69,19800,19800,19800,0,0,99000,1,1,1
70,19800,19800,19800,0,0,99000,1,1,1
71,19800,19800,19800,0,0,99000,1,1,1
72,19800,19800,19800,0,0,99000,1,1,1
73,19800,19800,19800,0,0,99000,1,1,1
74,19800,19800,19800,0,0,99000,1,1,1
75,19800,19800,19800,0,0,99000,1,1,1
76,19800,19800,19800,0,0,99000,1,1,1
77,19800,19800,19800,0,0,99000,1,1,1
78,19800,19800,19800,0,0,99000,1,1,1
79,19800,19800,19800,0,0,99000,1,1,1
80,19800,19800,19800,0,0,99000,1,1,1
81,19800,19800,19800,0,0,99000,1,1,1
82,19800,19800,19800,0,0,99000,1,1,1
83,19800,19800,19800,0,0,99000,1,1,1
84,19800,19800,19800,0,0,99000,1,1,1
85,19800,19800,19800,0,0,99000,1,1,1
86,19800,19800,19800,0,0,99000,1,1,1
87,19800,19800,19800,0,0,99000,1,1,1
88,19800,19800,19800,0,0,99000,1,1,1
89,19800,19800,19800,0,0,99000,1,1,1
90,19800,19800,19800,0,0,99000,1,1,1
91,19800,19800,19800,0,0,99000,1,1,1
92,19800,19800,19800,0,0,99000,1,1,1
93,19800,19800,19800,0,0,99000,1,1,1
94,19800,19800,19800,0,0,99000,1,1,1
95,19800,19800,19800,0,0,99000,1,1,1
96,19800,19800,19800,0,0,99000,1,1,1
97,19800,19800,19800,0,0,99000,1,1,1
98,19800,19800,19800,0,0,99000,1,1,1
99,19800,19800,19800,0,0,99000,1,1,1
100,19800,19800,19800,0,0,99000,1,1,1
